frame,side weight,sensitivity,threshold,buf size,gamma,goal
483,10.0,0.5,6.0,20,0.95,0
481,10.0,0.5,6.0,20,0.96,0
480,10.0,0.5,6.0,20,0.97,0
478,10.0,0.5,6.0,20,0.98,0
479,10.0,0.5,6.0,20,0.99,0
116,10.0,0.5,6.0,24,0.95,0
115,10.0,0.5,6.0,24,0.96,0
114,10.0,0.5,6.0,24,0.97,0
113,10.0,0.5,6.0,24,0.98,0
111,10.0,0.5,6.0,24,0.99,0
112,10.0,0.5,6.0,28,0.95,0
112,10.0,0.5,6.0,28,0.96,0
110,10.0,0.5,6.0,28,0.97,0
110,10.0,0.5,6.0,28,0.98,0
110,10.0,0.5,6.0,28,0.99,0
110,10.0,0.5,6.0,32,0.95,0
110,10.0,0.5,6.0,32,0.96,0
110,10.0,0.5,6.0,32,0.97,0
110,10.0,0.5,6.0,32,0.98,0
110,10.0,0.5,6.0,32,0.99,0
491,10.0,0.5,7.0,8,0.95,0
491,10.0,0.5,7.0,8,0.96,0
491,10.0,0.5,7.0,8,0.97,0
491,10.0,0.5,7.0,8,0.98,0
491,10.0,0.5,7.0,8,0.99,0
489,10.0,0.5,7.0,12,0.95,0
491,10.0,0.5,7.0,12,0.96,0
491,10.0,0.5,7.0,12,0.97,0
491,10.0,0.5,7.0,12,0.98,0
488,10.0,0.5,7.0,12,0.99,0
489,10.0,0.5,7.0,16,0.95,0
487,10.0,0.5,7.0,16,0.96,0
484,10.0,0.5,7.0,16,0.97,0
483,10.0,0.5,7.0,16,0.98,0
482,10.0,0.5,7.0,16,0.99,0
483,10.0,0.5,7.0,20,0.95,0
481,10.0,0.5,7.0,20,0.96,0
480,10.0,0.5,7.0,20,0.97,0
479,10.0,0.5,7.0,20,0.98,0
477,10.0,0.5,7.0,20,0.99,0
115,10.0,0.5,7.0,24,0.95,0
115,10.0,0.5,7.0,24,0.96,0
114,10.0,0.5,7.0,24,0.97,0
113,10.0,0.5,7.0,24,0.98,0
111,10.0,0.5,7.0,24,0.99,0
113,10.0,0.5,7.0,28,0.95,0
